nBSs	fBSs	r	m_mum_bio	s_mum_bio	m_mup_bio	s_mup_bio	m_mupdist1_bio	s_mupdist1_bio	m_fdist1_bio	s_fdist1_bio	m_mum_ran	s_mum_ran	m_mup_ran	s_mup_ran	m_mupdist1_ran	s_mupdist1_ran	m_fdist1_ran	s_fdist1_ran	mum_anal	mup_anal	mupdist1_anal	fdist1_anal	zeros
0.028229	  1850	2.561	6.072e-01	5.034e-03	1.727e-02	8.547e-05	7.459e-02	3.692e-04	2.315e-01	1.602e-17	9.775e-01	3.892e-04	2.777e-02	3.726e-05	4.190e-02	5.829e-03	6.993e-01	8.801e-02	9.718e-01	2.823e-02	1.067e-01	1.306e-01	0	0
0.056061	  3674	2.790	6.482e-01	3.062e-03	3.838e-02	2.020e-04	8.128e-02	4.280e-04	4.721e-01	0.000e+00	9.451e-01	1.045e-03	5.525e-02	6.011e-04	6.317e-02	4.032e-03	8.853e-01	5.627e-02	9.439e-01	5.606e-02	1.163e-01	2.060e-01	0	0
0.105728	  6929	3.021	6.214e-01	4.226e-03	7.314e-02	7.161e-04	1.011e-01	9.898e-04	7.235e-01	6.410e-17	8.939e-01	9.533e-04	1.056e-01	2.926e-04	1.086e-01	1.720e-03	9.727e-01	1.688e-02	8.943e-01	1.057e-01	1.057e-01	3.067e-01	0	0
0.155594	 10197	3.170	5.614e-01	9.478e-04	1.019e-01	4.164e-04	1.225e-01	5.003e-04	8.322e-01	0.000e+00	8.456e-01	2.574e-04	1.555e-01	2.362e-04	1.567e-01	6.442e-04	9.928e-01	4.425e-03	8.444e-01	1.556e-01	1.556e-01	3.860e-01	0	0
0.200821	 13161	3.273	5.211e-01	2.716e-03	1.323e-01	9.718e-04	1.469e-01	1.079e-03	9.008e-01	6.410e-17	7.999e-01	1.958e-03	2.016e-01	7.730e-04	2.020e-01	7.855e-04	9.982e-01	9.786e-04	7.992e-01	2.008e-01	2.008e-01	4.467e-01	0	0
0.253632	 16622	3.370	4.930e-01	2.521e-03	1.679e-01	4.916e-04	1.775e-01	5.195e-04	9.463e-01	6.410e-17	7.492e-01	2.841e-03	2.523e-01	2.025e-04	2.524e-01	2.154e-04	9.996e-01	2.377e-04	7.464e-01	2.536e-01	2.536e-01	5.085e-01	0	0
0.302338	 19814	3.444	4.738e-01	1.873e-03	2.042e-01	1.445e-04	2.100e-01	1.486e-04	9.724e-01	0.000e+00	6.949e-01	1.596e-03	3.009e-01	7.546e-04	3.009e-01	7.570e-04	9.999e-01	4.292e-05	6.977e-01	3.023e-01	3.023e-01	5.592e-01	0	0
0.352402	 23095	3.511	4.400e-01	1.947e-04	2.391e-01	1.361e-03	2.436e-01	1.387e-03	9.815e-01	0.000e+00	6.476e-01	1.313e-03	3.526e-01	8.740e-04	3.526e-01	8.740e-04	1.000e+00	0.000e+00	6.476e-01	3.524e-01	3.524e-01	6.062e-01	0	0
0.404526	 26511	3.572	4.020e-01	1.428e-03	2.764e-01	1.531e-03	2.791e-01	1.546e-03	9.904e-01	0.000e+00	5.966e-01	2.199e-03	4.046e-01	1.030e-03	4.046e-01	1.030e-03	1.000e+00	0.000e+00	5.955e-01	4.045e-01	4.045e-01	6.510e-01	0	0
0.451660	 29600	3.622	3.734e-01	7.022e-04	3.071e-01	5.575e-04	3.081e-01	5.595e-04	9.965e-01	6.410e-17	5.492e-01	3.476e-04	4.506e-01	3.021e-04	4.506e-01	3.021e-04	1.000e+00	0.000e+00	5.483e-01	4.517e-01	4.517e-01	6.883e-01	0	0
